Date;Name
 April 2014;CC-MAIN-2014-15
 July 2014;CC-MAIN-2014-23
 August 2014;CC-MAIN-2014-35
 September 2014;CC-MAIN-2014-41
 October 2014;CC-MAIN-2014-42
 November 2014;CC-MAIN-2014-49
 December 2014;CC-MAIN-2014-52
 January 2015;CC-MAIN-2015-06
 February 2015;CC-MAIN-2015-11
 March 2015;CC-MAIN-2015-14
 April 2015;CC-MAIN-2015-18
 May 2015;CC-MAIN-2015-22
 June 2015;CC-MAIN-2015-27
 July 2015;CC-MAIN-2015-32
 August 2015;CC-MAIN-2015-35
 September 2015;CC-MAIN-2015-40
 November 2015;CC-MAIN-2015-48
 February 2016;CC-MAIN-2016-07
 April 2016;CC-MAIN-2016-18 
 May 2016;CC-MAIN-2016-22 
 June 2016;CC-MAIN-2016-26 
 July 2016;CC-MAIN-2016-30 
 August 2016;CC-MAIN-2016-36 
 September 2016;CC-MAIN-2016-40 
 October 2016;CC-MAIN-2016-44 
 December 2016;CC-MAIN-2016-50 
 January 2017;CC-MAIN-2017-04 
 February 2017;CC-MAIN-2017-09 
 March 2017;CC-MAIN-2017-13 
 April 2017;CC-MAIN-2017-17 
 May 2017;CC-MAIN-2017-22 
 June 2017;CC-MAIN-2017-26 
 July 2017;CC-MAIN-2017-30 
 August 2017;CC-MAIN-2017-34 
 September 2017;CC-MAIN-2017-39 
 October 2017;CC-MAIN-2017-43 
 November 2017;CC-MAIN-2017-47 
 December 2017;CC-MAIN-2017-51 
 January 2018;CC-MAIN-2018-05 
 February 2018;CC-MAIN-2018-09 
 March 2018;CC-MAIN-2018-13 
 April 2018;CC-MAIN-2018-17 
 May 2018;CC-MAIN-2018-22 
 June 2018;CC-MAIN-2018-26 
 July 2018;CC-MAIN-2018-30 
 August 2018;CC-MAIN-2018-34 
 September 2018;CC-MAIN-2018-39 
 October 2018;CC-MAIN-2018-43 
 November 2018;CC-MAIN-2018-47 
 December 2018;CC-MAIN-2018-51 
 January 2019;CC-MAIN-2019-04 
 February 2019;CC-MAIN-2019-09 
 March 2019;CC-MAIN-2019-13 
 April 2019;CC-MAIN-2019-18 
 May 2019;CC-MAIN-2019-22 
 June 2019;CC-MAIN-2019-26 
 July 2019;CC-MAIN-2019-30 
 August 2019;CC-MAIN-2019-35 
 September 2019;CC-MAIN-2019-39 
 October 2019;CC-MAIN-2019-43 
 November 2019;CC-MAIN-2019-47 
 December 2019;CC-MAIN-2019-51 
 January 2020;CC-MAIN-2020-05 
 February 2020;CC-MAIN-2020-10 
 March/April 2020;CC-MAIN-2020-16 
 May/June 2020;CC-MAIN-2020-24 
 July 2020;CC-MAIN-2020-29 
 August 2020;CC-MAIN-2020-34 
 September 2020;CC-MAIN-2020-40 
 October 2020;CC-MAIN-2020-45 
 November/December 2020;CC-MAIN-2020-50 
 January 2021;CC-MAIN-2021-04 
 February/March 2021;CC-MAIN-2021-10 
 April 2021;CC-MAIN-2021-17 
 May 2021;CC-MAIN-2021-21 
 June 2021;CC-MAIN-2021-25 
 July/August 2021;CC-MAIN-2021-31 
 September 2021;CC-MAIN-2021-39 
 October 2021;CC-MAIN-2021-43 
 November/December 2021;CC-MAIN-2021-49 
 January 2022;CC-MAIN-2022-05 
 May 2022;CC-MAIN-2022-21 
 June/July 2022;CC-MAIN-2022-27 
 August 2022;CC-MAIN-2022-33 
